# zbin_center  rmag_bin_center  target_density
2.050000 21.750000 0.000000
2.050000 21.850000 0.000000
2.050000 21.950000 0.000000
2.050000 22.050000 0.000000
2.050000 22.150000 0.000000
2.050000 22.250000 0.000000
2.050000 22.350000 0.000000
2.050000 22.450000 0.000000
2.050000 22.550000 0.000000
2.050000 22.650000 0.000000
2.050000 22.750000 0.000000
2.050000 22.850000 0.000000
2.050000 22.950000 0.000000
2.050000 23.050000 0.000000
2.050000 23.150000 0.000000
2.050000 23.250000 0.000000
2.050000 23.350000 0.000000
2.050000 23.450000 0.000000
2.050000 23.550000 0.112803
2.050000 23.650000 0.000000
2.050000 23.750000 0.000000
2.050000 23.850000 0.000000
2.050000 23.950000 0.000000
2.050000 24.050000 0.000000
2.050000 24.150000 0.000000
2.050000 24.250000 0.112803
2.050000 24.350000 0.000000
2.050000 24.450000 0.000000
2.050000 24.550000 0.000000
2.050000 24.650000 0.000000
2.050000 24.750000 0.000000
2.050000 24.850000 0.000000
2.050000 24.950000 0.000000
2.050000 25.050000 0.000000
2.050000 25.150000 0.000000
2.050000 25.250000 0.000000
2.050000 25.350000 0.000000
2.050000 25.450000 0.000000
2.050000 25.550000 0.000000
2.050000 25.650000 0.000000
2.050000 25.750000 0.000000
2.050000 25.850000 0.000000
2.050000 25.950000 0.000000
2.050000 26.050000 0.000000
2.050000 26.150000 0.000000
2.050000 26.250000 0.000000
2.050000 26.350000 0.000000
2.050000 26.450000 0.000000
2.050000 26.550000 0.000000
2.050000 26.650000 0.000000
2.050000 26.750000 0.000000
2.150000 21.750000 0.000000
2.150000 21.850000 0.000000
2.150000 21.950000 0.000000
2.150000 22.050000 0.000000
2.150000 22.150000 0.000000
2.150000 22.250000 0.000000
2.150000 22.350000 0.000000
2.150000 22.450000 0.112803
2.150000 22.550000 0.112803
2.150000 22.650000 0.112803
2.150000 22.750000 0.112803
2.150000 22.850000 0.000000
2.150000 22.950000 0.000000
2.150000 23.050000 0.225605
2.150000 23.150000 0.000000
2.150000 23.250000 0.000000
2.150000 23.350000 0.112803
2.150000 23.450000 0.225605
2.150000 23.550000 0.112803
2.150000 23.650000 0.000000
2.150000 23.750000 0.338408
2.150000 23.850000 0.676816
2.150000 23.950000 0.564013
2.150000 24.050000 0.225605
2.150000 24.150000 0.451211
2.150000 24.250000 0.112803
2.150000 24.350000 0.112803
2.150000 24.450000 0.000000
2.150000 24.550000 0.112803
2.150000 24.650000 0.338408
2.150000 24.750000 0.112803
2.150000 24.850000 0.000000
2.150000 24.950000 0.000000
2.150000 25.050000 0.000000
2.150000 25.150000 0.000000
2.150000 25.250000 0.000000
2.150000 25.350000 0.000000
2.150000 25.450000 0.000000
2.150000 25.550000 0.000000
2.150000 25.650000 0.000000
2.150000 25.750000 0.000000
2.150000 25.850000 0.000000
2.150000 25.950000 0.000000
2.150000 26.050000 0.000000
2.150000 26.150000 0.000000
2.150000 26.250000 0.000000
2.150000 26.350000 0.000000
2.150000 26.450000 0.000000
2.150000 26.550000 0.000000
2.150000 26.650000 0.000000
2.150000 26.750000 0.000000
2.250000 21.750000 0.000000
2.250000 21.850000 0.000000
2.250000 21.950000 0.000000
2.250000 22.050000 0.000000
2.250000 22.150000 0.000000
2.250000 22.250000 0.000000
2.250000 22.350000 0.000000
2.250000 22.450000 0.338408
2.250000 22.550000 0.112803
2.250000 22.650000 0.225605
2.250000 22.750000 0.000000
2.250000 22.850000 0.112803
2.250000 22.950000 0.225605
2.250000 23.050000 0.338408
2.250000 23.150000 0.451211
2.250000 23.250000 0.112803
2.250000 23.350000 0.451211
2.250000 23.450000 0.676816
2.250000 23.550000 0.225605
2.250000 23.650000 0.451211
2.250000 23.750000 0.789619
2.250000 23.850000 0.451211
2.250000 23.950000 0.676816
2.250000 24.050000 0.564013
2.250000 24.150000 0.676816
2.250000 24.250000 0.000000
2.250000 24.350000 0.564013
2.250000 24.450000 0.338408
2.250000 24.550000 0.112803
2.250000 24.650000 0.000000
2.250000 24.750000 0.112803
2.250000 24.850000 0.000000
2.250000 24.950000 0.000000
2.250000 25.050000 0.112803
2.250000 25.150000 0.000000
2.250000 25.250000 0.000000
2.250000 25.350000 0.000000
2.250000 25.450000 0.000000
2.250000 25.550000 0.000000
2.250000 25.650000 0.000000
2.250000 25.750000 0.000000
2.250000 25.850000 0.000000
2.250000 25.950000 0.000000
2.250000 26.050000 0.000000
2.250000 26.150000 0.000000
2.250000 26.250000 0.000000
2.250000 26.350000 0.000000
2.250000 26.450000 0.000000
2.250000 26.550000 0.000000
2.250000 26.650000 0.000000
2.250000 26.750000 0.000000
2.350000 21.750000 0.000000
2.350000 21.850000 0.000000
2.350000 21.950000 0.000000
2.350000 22.050000 0.000000
2.350000 22.150000 0.000000
2.350000 22.250000 0.000000
2.350000 22.350000 0.000000
2.350000 22.450000 0.225605
2.350000 22.550000 0.225605
2.350000 22.650000 0.225605
2.350000 22.750000 0.225605
2.350000 22.850000 0.000000
2.350000 22.950000 0.338408
2.350000 23.050000 0.338408
2.350000 23.150000 0.676816
2.350000 23.250000 0.338408
2.350000 23.350000 0.451211
2.350000 23.450000 0.338408
2.350000 23.550000 1.015224
2.350000 23.650000 0.676816
2.350000 23.750000 2.030448
2.350000 23.850000 1.240829
2.350000 23.950000 1.692040
2.350000 24.050000 2.143251
2.350000 24.150000 1.015224
2.350000 24.250000 1.353632
2.350000 24.350000 1.240829
2.350000 24.450000 0.676816
2.350000 24.550000 0.112803
2.350000 24.650000 0.000000
2.350000 24.750000 0.000000
2.350000 24.850000 0.000000
2.350000 24.950000 0.112803
2.350000 25.050000 0.000000
2.350000 25.150000 0.000000
2.350000 25.250000 0.112803
2.350000 25.350000 0.000000
2.350000 25.450000 0.000000
2.350000 25.550000 0.000000
2.350000 25.650000 0.000000
2.350000 25.750000 0.000000
2.350000 25.850000 0.000000
2.350000 25.950000 0.000000
2.350000 26.050000 0.000000
2.350000 26.150000 0.000000
2.350000 26.250000 0.000000
2.350000 26.350000 0.000000
2.350000 26.450000 0.000000
2.350000 26.550000 0.000000
2.350000 26.650000 0.000000
2.350000 26.750000 0.000000
2.450000 21.750000 0.000000
2.450000 21.850000 0.000000
2.450000 21.950000 0.000000
2.450000 22.050000 0.000000
2.450000 22.150000 0.000000
2.450000 22.250000 0.000000
2.450000 22.350000 0.000000
2.450000 22.450000 0.225605
2.450000 22.550000 0.112803
2.450000 22.650000 0.000000
2.450000 22.750000 0.112803
2.450000 22.850000 0.000000
2.450000 22.950000 0.451211
2.450000 23.050000 0.112803
2.450000 23.150000 0.112803
2.450000 23.250000 0.564013
2.450000 23.350000 0.564013
2.450000 23.450000 0.676816
2.450000 23.550000 0.789619
2.450000 23.650000 0.564013
2.450000 23.750000 1.128027
2.450000 23.850000 1.353632
2.450000 23.950000 2.256053
2.450000 24.050000 1.240829
2.450000 24.150000 2.030448
2.450000 24.250000 0.676816
2.450000 24.350000 1.128027
2.450000 24.450000 0.676816
2.450000 24.550000 0.338408
2.450000 24.650000 0.000000
2.450000 24.750000 0.112803
2.450000 24.850000 0.000000
2.450000 24.950000 0.000000
2.450000 25.050000 0.000000
