# z beta bias
2 1.55049 0.121619
2 1.55049 0.121619
2.1 1.57724 0.125477
2.1 1.57724 0.125477
2.2 1.60539 0.129538
2.2 1.60539 0.129538
2.3 1.63492 0.133796
2.3 1.63492 0.133796
2.4 1.66577 0.138246
2.4 1.66577 0.138246
2.5 1.6979 0.142879
2.5 1.6979 0.142879
2.6 1.73123 0.147687
2.6 1.73123 0.147687
2.7 1.76571 0.152659
2.7 1.76571 0.152659
2.8 1.80124 0.157783
2.8 1.80124 0.157783
2.9 1.83774 0.163047
2.9 1.83774 0.163047
3 1.87511 0.168437
3 1.87511 0.168437
3.1 1.91325 0.173938
3.1 1.91325 0.173938
3.2 1.95204 0.179533
3.2 1.95204 0.179533
3.3 1.99138 0.185205
3.3 1.99138 0.185205
3.4 2.03112 0.190937
3.4 2.03112 0.190937
3.5 2.07115 0.196711
3.5 2.07115 0.196711
3.6 2.11134 0.202507
3.6 2.11134 0.202507
3.7 2.15156 0.208307
3.7 2.15156 0.208307
3.8 2.19167 0.214092
3.8 2.19167 0.214092
3.9 2.23154 0.219842
3.9 2.23154 0.219842
